frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id
0001568880,130534,GCI Communication Corp.,1315014644,40,2500,75,1,X,AK,020200020004000,880c733803fffff
0001568880,130534,GCI Communication Corp.,1315016496,40,2500,75,1,X,AK,020200012005002,880c733841fffff
0001568880,130534,GCI Communication Corp.,1315024730,40,2500,75,1,X,AK,020200001022006,880c73a83bfffff
0001568880,130534,GCI Communication Corp.,1371608373,40,2500,75,1,X,AK,020630003004043,880c441521fffff
0001568880,130534,GCI Communication Corp.,1371609421,40,2500,75,1,X,AK,020630003001016,880c441523fffff
0001568880,130534,GCI Communication Corp.,1051713915,40,2500,75,1,X,AK,021700009001037,880c73bb5bfffff
0001568880,130534,GCI Communication Corp.,1051719397,40,2500,75,1,X,AK,021700007052005,880c7385e7fffff
0001568880,130534,GCI Communication Corp.,1051720438,40,2500,75,1,X,AK,021700010012005,880c738413fffff
0001568880,130534,GCI Communication Corp.,1051720940,40,2500,75,1,X,AK,021700010031015,880c738597fffff
0001568880,130534,GCI Communication Corp.,1051725259,40,2500,75,1,X,AK,021700009001021,880c73bb07fffff
0001568880,130534,GCI Communication Corp.,1053675348,40,2500,75,1,X,AK,021800002004026,880c146601fffff
0001568880,130534,GCI Communication Corp.,1063331542,40,2500,75,1,X,AK,021100001001052,88139ec4e3fffff
0001568880,130534,GCI Communication Corp.,1063331664,40,2500,75,1,X,AK,021100003001012,88139ec4bdfffff
0001568880,130534,GCI Communication Corp.,1314941009,40,2500,75,1,X,AK,020200026011013,880c7338c1fffff
0001568880,130534,GCI Communication Corp.,1314944227,40,2500,75,1,X,AK,020200009011046,880c733a31fffff
0001568880,130534,GCI Communication Corp.,1314945185,40,2500,75,1,X,AK,020200028213014,880c732101fffff
0001568880,130534,GCI Communication Corp.,1314946534,40,2500,75,1,X,AK,020200008011005,880c733acdfffff
0001568880,130534,GCI Communication Corp.,1314946651,40,2500,75,1,X,AK,020200017312000,880c7331e1fffff
0001568880,130534,GCI Communication Corp.,1314953263,40,2500,75,1,X,AK,020200017324002,880c7331a1fffff
0001568880,130534,GCI Communication Corp.,1314957076,40,2500,75,1,X,AK,020200021001003,880c733801fffff
0001568880,130534,GCI Communication Corp.,1314958237,40,2500,75,1,X,AK,020200008011003,880c733a1bfffff
0001568880,130534,GCI Communication Corp.,1314961358,40,2500,75,1,X,AK,020200002062020,880c73a8b1fffff
0001568880,130534,GCI Communication Corp.,1314963324,40,2500,75,1,X,AK,020200016013021,880c733ae1fffff
0001568880,130534,GCI Communication Corp.,1314965818,40,2500,75,1,X,AK,020200015002008,880c733aadfffff
0001568880,130534,GCI Communication Corp.,1314967032,40,2500,75,1,X,AK,020200028211014,880c732105fffff
0001568880,130534,GCI Communication Corp.,1314968408,40,2500,75,1,X,AK,020200027133002,880c73212bfffff
0001568880,130534,GCI Communication Corp.,1314969303,40,2500,75,1,X,AK,020200028133003,880c732331fffff
0001568880,130534,GCI Communication Corp.,1314970556,40,2500,75,1,X,AK,020200002053006,880c73a8b5fffff
0001568880,130534,GCI Communication Corp.,1314971965,40,2500,75,1,X,AK,020200027121006,880c7338a9fffff
0001568880,130534,GCI Communication Corp.,1314975869,40,2500,75,1,X,AK,020200007012006,880c733137fffff
0001568880,130534,GCI Communication Corp.,1314978953,40,2500,75,1,X,AK,020200028232013,880c732117fffff
0001568880,130534,GCI Communication Corp.,1314980968,40,2500,75,1,X,AK,020200017012000,880c733ad3fffff
0001568880,130534,GCI Communication Corp.,1314990349,40,2500,75,1,X,AK,020200026021008,880c7338cbfffff
0001568880,130534,GCI Communication Corp.,1314998618,40,2500,75,1,X,AK,020200027125010,880c7338a7fffff
0001568880,130534,GCI Communication Corp.,1315001505,40,2500,75,1,X,AK,020200002021004,880c73a9d7fffff
0001568880,130534,GCI Communication Corp.,1315002229,40,2500,75,1,X,AK,020200013003005,880c73380dfffff
0001568880,130534,GCI Communication Corp.,1315004901,40,2500,75,1,X,AK,020200028213006,880c73210dfffff
0001568880,130534,GCI Communication Corp.,1315011585,40,2500,75,1,X,AK,020200026021000,880c733ab7fffff
0001568880,130534,GCI Communication Corp.,1315013353,40,2500,75,1,X,AK,020200028221005,880c732151fffff
0001568880,130534,GCI Communication Corp.,1315014787,40,2500,75,1,X,AK,020200028212003,880c732105fffff
0001568880,130534,GCI Communication Corp.,1315017389,40,2500,75,1,X,AK,020200002052000,880c73a8b3fffff
0001568880,130534,GCI Communication Corp.,1315018297,40,2500,75,1,X,AK,020200029002107,880c46cd2bfffff
0001568880,130534,GCI Communication Corp.,1315024171,40,2500,75,1,X,AK,020200002022015,880c73a8a9fffff
0001568880,130534,GCI Communication Corp.,1371609621,40,2500,75,1,X,AK,020630003004043,880c441521fffff
0001568880,130534,GCI Communication Corp.,1374683975,40,2500,75,1,X,AK,020900010002042,880d5a9a9dfffff
0001568880,130534,GCI Communication Corp.,1374713962,40,2500,75,1,X,AK,020200017014005,880c733a9dfffff
0001568880,130534,GCI Communication Corp.,1374715117,40,2500,75,1,X,AK,020200007013009,880c733ac9fffff
0001568880,130534,GCI Communication Corp.,1374748174,40,2500,75,1,X,AK,021220013002120,880c42c0e1fffff
0001568880,130534,GCI Communication Corp.,1374786338,40,2500,75,1,X,AK,020630003002017,880c441423fffff
0001568880,130534,GCI Communication Corp.,1374786427,40,2500,75,1,X,AK,020630003002017,880c441427fffff
0001568880,130534,GCI Communication Corp.,1374820709,40,2500,75,1,X,AK,021300003001008,8812b03a41fffff
0001568880,130534,GCI Communication Corp.,1374843966,40,2500,75,1,X,AK,021100004002011,88139e1123fffff
